title,artist,key,bpm,lead_vocals,backup_vocals,intro_notes,order_rules,substitution_notes,yacht_adjacent,gig_ready,length,arrangement,danceable,vocalist_constraints,opener,closer,date_added,archived,preferred_emergency_cut,release_year,original_album,musicbrainz_genre,musicbrainz_mood,electric_guitar,acoustic_guitar,keys_1,keys_2,drums,bass,percussion,harmonica,accordion,sax,start_energy,end_energy,youtube_url
Free Ride,Edgar Winter Group,D,104,Lauren,J;D,guitar riff,None,None,Adjacent,Yes,3:00,Full Band,Yes,None,Yes,No,2025-03,No,No,1973,Free Ride,Blues Rock;Pop Rock;Progressive Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=XJ-dW2BcbpE
Gold on the Ceiling,"Black Keys, The",G,130,Jon,L;M,"guitar intro, heavy keys",None,None,No,Yes,3:30,Full Band,Yes,None,Maybe,No,2025-03,No,No,2012,Gold on the Ceiling,Alternative Rock;Blues Rock;Garage Rock,Energetic;Chill;Dreamy,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=8tPsaSPraks
Superstition,Stevie Wonder,E,100,Lauren,,drums,Superstition -> SEGUE Valerie,None,No,Yes,4:30,Full Band,Yes,None,Maybe,No,2025-03,No,No,1972,Superstition,Contemporary R&B;Rhythm & Blues;Film Soundtrack,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=ftdZ363R9kQ
Valerie,Amy Winehouse,E,106,Lauren,,Bass and drums,Superstition -> SEGUE Valerie,None,No,Yes,3:30,Full Band,Yes,None,No,No,2025-03,No,No,2007,Valerie,Contemporary R&B;Neo Soul;Neo-Soul,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=-WrSLR5oEao
American Girl,Tom Petty,D,114,Martin,L,Guitar hook,None,If Martin is out: David sings lead vocals.,No,Yes,3:30,Full Band,Yes,None,Maybe,Maybe,2026-01,No,No,1976,American Girl,Singer/Songwriter;2008 Universal Fire Victim;Heartland Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=J7bAeH7iJFc
Brown Eyed Girl,Van Morrison,G,120,Jon,L,Jon starts,Brown Eyed Girl -> SEGUE Hey Jealousy,None,Adjacent,Yes,3:00,Full Band,Yes,None,No,No,2025-03,No,No,2000,Brown Eyed Girl,Singer-Songwriter;Folk Rock;Blue-Eyed Soul,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Low,Low,https://music.youtube.com/watch?v=nEQmbFWnQeE
Hey Jealousy,Gin Blossoms,D,153,Martin,J;L;D,"SEGUE Jon piano, Martin to electric (keys)",Brown Eyed Girl -> SEGUE Hey Jealousy,If Martin is out: David sings lead vocals.,No,Yes,4:00,Full Band,Yes,None,No,No,2026-01,No,No,1992,Hey Jealousy,Alternative Rock;90'S Alternative;Jangle Pop,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=EARps6chiMA
Peg,Steely Dan,G,116,Jon,L,Written intro,Peg -> SEGUE Second Chance,None,Yes,Yes,4:00,Full Band,Yes,None,No,No,2025-03,No,No,1977,Peg / I Got the News,Jazz Rock;Yacht Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=u_pt3khMRFs
Second Chance,Shinedown,Cm,140,Lauren,J,SEGUE (Cmaj7 to Cm) Jon (keys),Peg -> SEGUE Second Chance,None,No,Yes,3:30,Full Band,No,None,No,No,2026-01,No,No,2008,Second Chance,Alternative Rock;Alternative Metal;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,High,https://music.youtube.com/watch?v=kOFVsn6U9L8
Rock This Town,Stray Cats,D,200,Lauren,,JJ starts,None,None,No,Yes,3:30,Full Band,Yes,None,No,Maybe,2026-05,No,Yes,1993,Rock This Town,Rockabilly;Rock & Roll,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=4xmLyPZVaXQ
Baby Blue,Badfinger,B,122,Jon,L;D,Guitar riff,None,None,Adjacent,Yes,3:30,Full Band,No,None,No,No,2025-03,No,No,1972,Baby Blue,Pop Rock;Power Pop;Blues Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Low,Low,https://music.youtube.com/watch?v=33oAuvbRg-c
Don’t Stop Believing,Journey,E,118,Lauren,J;D,Piano riff,None,None,No,Yes,4:00,Full Band,Yes,None,No,Yes,2025-03,No,No,,,Aor;Arena Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=PIFUWHvSixw
